"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","year"
"11341",670310.874087924,7254199.62624477,2010-06-09 15:16:00,-603.281899112626,396.037270225585,721.660979411156,7200,549807532.624335,2.56068161186688,0.215778361260182,"r_RG_10_061","r_RG_10_061.1","2010"
"11342",669707.592188811,7254595.663515,2010-06-09 17:16:00,-1621.48281219241,1224.17904848512,2031.70392847613,7200,535675759.018374,2.49491511626546,-0.0657664956014283,"r_RG_10_061","r_RG_10_061.1","2010"
"11343",668086.109376619,7255819.84256348,2010-06-09 19:16:00,2899.67227220221,-1036.21618025377,3079.26018036769,7200,507211530.940259,-0.34321323326349,-2.83812834952895,"r_RG_10_061","r_RG_10_061.1","2010"
"11344",670985.781648821,7254783.62638323,2010-06-09 21:16:00,53.4240328507731,441.109717711806,444.333107415855,7200,591846872.643613,1.45027054282926,1.79348377609275,"r_RG_10_061","r_RG_10_061.1","2010"
"11345",671039.205681672,7255224.73610094,2010-06-09 23:16:00,-247.774489086354,576.886287779547,627.845511626921,7200,605450822.226329,1.976475007959,0.526204465129735,"r_RG_10_061","r_RG_10_061.1","2010"
"11346",670791.431192585,7255801.62238872,2010-06-10 01:16:00,-962.663984230137,544.037154624239,1105.75692272103,7200,610671508.15802,2.62720217621086,0.650727168251864,"r_RG_10_061","r_RG_10_061.1","2010"
"11347",669828.767208355,7256345.65954335,2010-06-10 03:16:00,-85.9539123743307,68.7180020557716,110.046530426866,7200,587203390.507295,2.46717192978696,-0.160030246423896,"r_RG_10_061","r_RG_10_061.1","2010"
"11348",669742.813295981,7256414.3775454,2010-06-10 05:16:00,-766.949498232105,577.996435919777,960.360043303782,7200,585803073.207375,2.4957721523882,0.0286002226012334,"r_RG_10_061","r_RG_10_061.1","2010"
"11349",668975.863797749,7256992.37398132,2010-06-10 07:16:00,123.039262241102,-62.4979279758409,138.002358871535,7200,573332189.082841,-0.469988233744759,-2.96576038613296,"r_RG_10_061","r_RG_10_061.1","2010"
"11350",669098.90305999,7256929.87605335,2010-06-10 09:16:00,-103.438695940538,159.674918915145,190.25152705941,7200,576104174.982056,2.14562908135642,2.61561731510118,"r_RG_10_061","r_RG_10_061.1","2010"
"11351",668995.464364049,7257089.55097226,2010-06-10 11:16:00,53.0797944668448,83.1063837967813,98.6110318799088,7200,576971141.279127,1.00240808862178,-1.14322099273465,"r_RG_10_061","r_RG_10_061.1","2010"
"11352",669048.544158516,7257172.65735606,2010-06-10 13:16:00,-143.742594940937,-183.273912867531,232.919000380239,7200,581464718.101653,-2.23589343768416,3.04488378087365,"r_RG_10_061","r_RG_10_061.1","2010"
"11353",668904.801563575,7256989.38344319,2010-06-10 15:16:00,540.994434024557,132.940967037342,557.089111688942,7200,570583211.220878,0.240960011455532,2.4768534491397,"r_RG_10_061","r_RG_10_061.1","2010"
"11354",669445.7959976,7257122.32441023,2010-06-10 17:16:00,112.161184110912,245.500880853273,269.908898928684,7200,595063401.996769,1.14224672186298,0.90128671040745,"r_RG_10_061","r_RG_10_061.1","2010"
"11355",669557.957181711,7257367.82529108,2010-06-10 19:16:00,-692.001091017737,-311.81758788228,759.00969564457,7200,606823095.607734,-2.71823760122209,2.42270098409452,"r_RG_10_061","r_RG_10_061.1","2010"
"11356",668865.956090693,7257056.0077032,2010-06-10 21:16:00,-4.2621919499943,-17.5563802365214,18.0663434935771,7200,571121661.582288,-1.80896038172489,0.909277219497198,"r_RG_10_061","r_RG_10_061.1","2010"
"11357",668861.693898743,7257038.45132296,2010-06-10 23:16:00,93.1569514995208,-27.5620964644477,97.14878678707,7200,570437996.701245,-0.287661034721858,1.52129934700303,"r_RG_10_061","r_RG_10_061.1","2010"
"11358",668954.850850243,7257010.8892265,2010-06-11 01:16:00,383.859127022093,4.34474497660995,383.883714433258,7200,573096355.864334,0.0113181090383599,0.298979143760218,"r_RG_10_061","r_RG_10_061.1","2010"
"11359",669338.709977265,7257015.23397147,2010-06-11 03:16:00,-87.5523984044557,-7.67697892151773,87.888329553667,7200,587752620.239488,-3.05413195147167,-3.06545006051003,"r_RG_10_061","r_RG_10_061.1","2010"
"11360",669251.15757886,7257007.55699255,2010-06-11 05:16:00,-371.936904576258,-28.0273475749418,372.991411694499,7200,584184438.424742,-3.06637968831135,-0.0122477368396829,"r_RG_10_061","r_RG_10_061.1","2010"
"11361",668879.220674284,7256979.52964498,2010-06-11 07:16:00,499.971929734573,-57.6225543357432,503.281520911198,7200,569334863.689742,-0.114745314924348,2.951634373387,"r_RG_10_061","r_RG_10_061.1","2010"
"11362",669379.192604019,7256921.90709064,2010-06-11 09:16:00,-332.742139427224,34.7160516958684,334.548256004954,7200,586526855.504243,3.03763557167675,-3.13080442057848,"r_RG_10_061","r_RG_10_061.1","2010"
"11363",669046.450464591,7256956.62314234,2010-06-11 11:16:00,123.647388575366,61.1319393543527,137.934008535719,7200,574920880.037132,0.459161938618505,-2.57847363305825,"r_RG_10_061","r_RG_10_061.1","2010"
"11364",669170.097853167,7257017.75508169,2010-06-11 13:16:00,-189.451190269785,-45.0204006284475,194.726962610174,7200,581410605.443382,-2.90828423055616,2.91573913800492,"r_RG_10_061","r_RG_10_061.1","2010"
"11365",668980.646662897,7256972.73468106,2010-06-11 15:16:00,532.758883835166,236.153561221436,582.752548499668,7200,572927079.146677,0.417239306931938,-2.95766176969149,"r_RG_10_061","r_RG_10_061.1","2010"
"11366",669513.405546732,7257208.88824228,2010-06-11 17:16:00,89.1752828023164,33.0935684191063,95.1179022770329,7200,600274990.112912,0.355353236470852,-0.0618860704610864,"r_RG_10_061","r_RG_10_061.1","2010"
"11367",669602.580829534,7257241.9818107,2010-06-11 19:16:00,-76.4672906293999,170.52968661394,186.889327016953,7200,604724060.358278,1.99232758174641,1.63697434527556,"r_RG_10_061","r_RG_10_061.1","2010"
"11368",669526.113538905,7257412.51149732,2010-06-11 21:16:00,-58.7287395906169,108.274330112152,123.176277810046,7200,606959206.727704,2.06779118775166,0.0754636060052452,"r_RG_10_061","r_RG_10_061.1","2010"
"11369",669467.384799314,7257520.78582743,2010-06-11 23:16:00,-721.376776405144,539.914903700352,901.050806988395,7200,608022843.224655,2.4990838784392,0.431292690687548,"r_RG_10_061","r_RG_10_061.1","2010"
"11370",668746.008022909,7258060.70073113,2010-06-12 01:16:00,29.7311860248446,-11.1256910804659,31.7446755293211,7200,597722540.958415,-0.358077414419502,-2.85716129285871,"r_RG_10_061","r_RG_10_061.1","2010"
"11371",668775.739208934,7258049.57504005,2010-06-12 03:16:00,183.758978858008,-319.204480066895,368.318968294758,7200,598469749.027383,-1.04845270319827,-0.690375288778769,"r_RG_10_061","r_RG_10_061.1","2010"
"11372",668959.498187792,7257730.37055998,2010-06-12 05:16:00,166.761733221007,-20.8784429114312,168.063633916681,7200,595241907.835599,-0.124551168347016,0.923901534851255,"r_RG_10_061","r_RG_10_061.1","2010"
"11373",669126.259921013,7257709.49211707,2010-06-12 07:16:00,-70.4325474954676,72.238434355706,100.891700079169,7200,600865984.430551,2.34353746350602,2.46808863185303,"r_RG_10_061","r_RG_10_061.1","2010"
"11374",669055.827373518,7257781.73055143,2010-06-12 09:16:00,-63.350347264437,-200.406040959992,210.180512302598,7200,600468585.262179,-1.87696660354771,2.06268124012586,"r_RG_10_061","r_RG_10_061.1","2010"
"11375",668992.477026253,7257581.32451047,2010-06-12 11:16:00,592.233322983258,-221.253559758887,632.213133806766,7200,591842114.766886,-0.357535581812715,1.51943102173499,"r_RG_10_061","r_RG_10_061.1","2010"
"11376",669584.710349236,7257360.07095071,2010-06-12 13:16:00,297.006769213476,208.410954894498,362.833497735068,7200,607621556.145191,0.6118689370292,0.969404518841915,"r_RG_10_061","r_RG_10_061.1","2010"
"11377",669881.71711845,7257568.4819056,2010-06-12 15:16:00,21.6693252462428,22.2931761667132,31.0893126367819,7200,625613238.015588,0.799587734744076,0.187718797714876,"r_RG_10_061","r_RG_10_061.1","2010"
"11378",669903.386443696,7257590.77508177,2010-06-12 17:16:00,536.566766047268,45.5788383996114,538.499141072929,7200,627155713.613539,0.0847418916021219,-0.714845843141954,"r_RG_10_061","r_RG_10_061.1","2010"
"11379",670439.953209743,7257636.35392017,2010-06-12 19:16:00,93.8995596851455,-16.2999124433845,95.3038008409224,7200,649975314.782765,-0.171876078661889,-0.256617970264011,"r_RG_10_061","r_RG_10_061.1","2010"
"11380",670533.852769429,7257620.05400773,2010-06-12 21:16:00,56.2502431855537,-575.608911724761,578.350852956402,7200,653274343.987549,-1.47338261105848,-1.30150653239659,"r_RG_10_061","r_RG_10_061.1","2010"
"11381",670590.103012614,7257044.445096,2010-06-12 23:16:00,-732.617221579538,572.512722397223,929.784281788847,7200,638028580.835974,2.47825785396094,-2.33154484216017,"r_RG_10_061","r_RG_10_061.1","2010"
"11382",669857.485791035,7257616.9578184,2010-06-13 01:16:00,31.5953590117861,257.215083558112,259.148347324251,7200,626163086.510271,1.44857227111342,-1.02968558284752,"r_RG_10_061","r_RG_10_061.1","2010"
"11383",669889.081150046,7257874.17290196,2010-06-13 03:16:00,14.9185835927492,-1.73837151750922,15.0195230266055,7200,635452367.413614,-0.116000773352421,-1.56457304446584,"r_RG_10_061","r_RG_10_061.1","2010"
"11384",669903.999733639,7257872.43453044,2010-06-13 05:16:00,110.463051650091,-91.8546991115436,143.664092690981,7200,635984480.316877,-0.69368033650751,-0.577679563155089,"r_RG_10_061","r_RG_10_061.1","2010"
"11385",670014.462785289,7257780.57983133,2010-06-13 07:16:00,45.4035130870761,-116.299281216227,124.847914728518,7200,637455517.149286,-1.19859106572027,-0.504910729212762,"r_RG_10_061","r_RG_10_061.1","2010"
"11386",670059.866298376,7257664.28055011,2010-06-13 09:16:00,-69.0559809510596,-218.633260600269,229.279809721262,7200,635621249.414361,-1.87673300319218,-0.678141937471904,"r_RG_10_061","r_RG_10_061.1","2010"
"11387",669990.810317425,7257445.64728951,2010-06-13 11:16:00,-251.706901764497,-39.9448274914175,254.856731594834,7200,626129367.178709,-2.98420929788678,-1.10747629469461,"r_RG_10_061","r_RG_10_061.1","2010"
"11388",669739.103415661,7257405.70246202,2010-06-13 13:16:00,-1588.56720745121,488.887734097429,1662.094157724,7200,615018050.66312,2.8430374687325,-0.455938540560299,"r_RG_10_061","r_RG_10_061.1","2010"
"11389",668150.53620821,7257894.59019612,2010-06-13 15:16:00,-175.128007422783,61.5860436158255,185.641212429042,7200,570745173.865763,2.80343707265623,-0.0396003960762683,"r_RG_10_061","r_RG_10_061.1","2010"
"11390",667975.408200787,7257956.17623973,2010-06-13 17:16:00,-688.815304368385,76.0653747031465,693.002499822938,7200,566446310.966124,3.03160900371068,0.228171931054449,"r_RG_10_061","r_RG_10_061.1","2010"
"11391",667286.592896418,7258032.24161444,2010-06-13 19:16:00,-1173.42520184896,639.187542847358,1336.22132121349,7200,544884841.291817,2.64281263743999,-0.388796366270694,"r_RG_10_061","r_RG_10_061.1","2010"
"11392",666113.167694569,7258671.42915728,2010-06-13 21:16:00,-291.428984061698,134.196951812133,320.842133496992,7200,526994255.767098,2.71005856996193,0.0672459325219359,"r_RG_10_061","r_RG_10_061.1","2010"
"11393",665821.738710508,7258805.6261091,2010-06-13 23:16:00,-287.814759435714,184.49470881559,341.870784551689,7200,522283795.750659,2.57155694719279,-0.138501622769136,"r_RG_10_061","r_RG_10_061.1","2010"
"11394",665533.923951072,7258990.12081791,2010-06-14 01:16:00,152.888859413681,-28.5540648279712,155.532433759059,7200,519586233.698019,-0.184636408420911,-2.7561933556137,"r_RG_10_061","r_RG_10_061.1","2010"
"11395",665686.812810486,7258961.56675308,2010-06-14 03:16:00,-155.368999663624,-184.876864556223,241.493232005817,7200,523327123.105559,-2.26968581689724,-2.08504940847633,"r_RG_10_061","r_RG_10_061.1","2010"
