sto,x,y,wald,wald_max,versiegelt
2503,4313331.499835147,3161419.5614148066,4.083210468292236,54,46.020362854003906
2504,4313431.525703866,3161418.193532703,4.080178260803223,60,66.539825439453125
2505,4313531.551557913,3161416.825654666,1.8347100019454956,37,68.48538970947266
2506,4313631.577397257,3161415.4577806992,1.113144040107727,42,20.782440185546875
2507,4313731.603221868,3161414.0899107987,1.6263737678527832,52,13.28658676147461
2508,4313831.62903171,3161412.7220449634,3.677405595779419,60,7.083080768585205
2509,4313931.654826759,3161411.3541831975,0,0,0
2510,4314031.680606981,3161409.9863255005,8.784307479858398,65,20.156736373901367
2511,4314131.706372343,3161408.6184718725,2.346073627471924,53,53.09840774536133
2512,4314231.732122821,3161407.250622315,8.589106559753418,60,58.283172607421875
2513,4314331.757858378,3161405.882776823,13.741271018981934,66,41.580684661865234
2514,4314431.783578987,3161404.5149354055,13.295883178710938,66,40.485958099365234
2515,4314531.8092846135,3161403.147098057,10.702610969543457,57,30.319934844970703
2516,4314631.834975231,3161401.7792647765,32.18684005737305,85,14.070096969604492
2517,4314731.860650808,3161400.4114355687,57.10065460205078,87,0
2518,4314831.886311311,3161399.0436104345,0,0,0
2519,4314931.911956713,3161397.6757893716,0,0,0
2520,4315031.937586981,3161396.3079723823,0,0,0
2521,4315131.963202083,3161394.9401594624,0,0,0
2522,4315231.9888019925,3161393.572350617,0,0,0
2523,4315332.014386676,3161392.2045458495,0,0,0
2524,4315432.039956102,3161390.836745153,16.184627532958984,92,12.11153507232666
2525,4315532.065510242,3161389.4689485314,7.4807281494140625,81,64.49147033691406
2526,4315632.091049064,3161388.1011559865,0.08893942087888718,37,97.68233489990234
2527,4315732.116572538,3161386.7333675153,0.49838191270828247,42,78.34346771240234
2528,4315832.142080632,3161385.3655831176,0.14866326749324799,37,91.24547576904297
2529,4315932.167573318,3161383.997802798,44.90583801269531,93,29.16986656188965
2530,4316032.193050563,3161382.630026557,36.06586456298828,100,21.31745147705078
2531,4316132.218512337,3161381.2622543923,34.17353057861328,98,30.602218627929688
2532,4316232.243958608,3161379.8944863062,7.60202169418335,58,58.414302825927734
2533,4316332.269389348,3161378.5267222966,2.435009479522705,40,60.1997184753418
2534,4316432.294804523,3161377.1589623643,16.027009963989258,68,28.09625816345215
2535,4316532.320204104,3161375.791206507,14.714076042175293,73,49.736602783203125
2536,4316632.345588063,3161374.4234547345,19.735071182250977,75,55.61894226074219
